sku,medicine_name,criticality_tier,substitutability_group,is_national,origin_city,seed_stock_level,seed_daily_sold,seed_lead_time_days,seed_order_qty,seed_defect_rate_pct
SKU0,Amoxicillin,essential,Amoxicillin,True,Mumbai,58,802,7,96,0.2264103608499251
SKU1,Paracetamol,essential,Paracetamol,True,Mumbai,53,736,30,37,4.854068026388706
SKU2,Ciprofloxacin,essential,Ciprofloxacin,True,Mumbai,1,8,10,88,4.580592619199229
SKU3,Ibuprofen,essential,Ibuprofen,True,Kolkata,23,83,13,59,4.74664862064775
SKU4,Artemether-Lumefantrine,essential,Artemether-Lumefantrine,True,Delhi,5,871,3,56,3.145579522833002
SKU5,Azithromycin,essential,Azithromycin,True,Bangalore,90,147,27,66,2.7791935115711617
SKU6,Diclofenac,essential,Diclofenac,True,Kolkata,11,65,15,58,1.0009106193041355
SKU7,Vitamin C,general,Vitamin C,False,Bangalore,93,426,17,11,0.3981771868506506
SKU8,Multivitamin,general,Multivitamin,False,Mumbai,5,150,10,15,2.7098626911099615
SKU9,Aspirin,essential,Aspirin,True,Chennai,14,980,27,83,3.844614478767585
SKU10,Artesunate,essential,Artesunate,True,Kolkata,51,996,13,80,1.7273139283559424
SKU11,Chloroquine,essential,Chloroquine,True,Kolkata,46,960,23,60,0.0211698213729943
SKU12,Metronidazole,essential,Metronidazole,True,Kolkata,100,336,30,85,2.1612537475559117
SKU13,Tramadol,essential,Tramadol,True,Bangalore,80,249,8,48,1.6310742300715386
SKU14,Paracetamol,essential,Paracetamol,True,Kolkata,54,562,29,78,0.1006828515650937
SKU15,Ibuprofen,essential,Ibuprofen,True,Bangalore,9,469,8,69,2.264405761198549
SKU16,Artemether-Lumefantrine,essential,Artemether-Lumefantrine,True,Bangalore,2,280,5,78,1.012563089258049
SKU17,Zinc Supplement,general,Zinc Supplement,False,Chennai,45,126,17,85,0.1020207549181761
SKU18,Doxycycline,essential,Doxycycline,True,Kolkata,10,620,10,46,2.2319391107292637
SKU19,Diclofenac,essential,Diclofenac,True,Chennai,48,187,11,94,3.64645086541703
SKU20,Aspirin,essential,Aspirin,True,Chennai,27,320,12,68,4.231416573534539
SKU21,Vitamin D3,general,Vitamin D3,False,Chennai,69,601,25,7,0.0186075676310149
SKU22,Ceftriaxone,essential,Ceftriaxone,True,Kolkata,71,884,1,63,2.591275473211116
SKU23,Folic Acid,general,Folic Acid,False,Kolkata,84,391,5,29,1.342291562722734
SKU24,Cefixime,essential,Cefixime,True,Bangalore,4,209,26,2,3.691310292628728
SKU25,Ampicillin,essential,Ampicillin,True,Kolkata,82,142,11,52,3.797231217114183
SKU26,Amoxicillin,essential,Amoxicillin,True,Bangalore,59,353,16,48,2.119319736724923
SKU27,Iron Supplement,general,Iron Supplement,False,Mumbai,47,352,9,62,2.864667837883373
SKU28,Calcium Supplement,general,Calcium Supplement,False,Mumbai,48,394,15,24,0.815757079295672
SKU29,B-Complex,general,B-Complex,False,Kolkata,45,253,5,67,3.878098936588488
SKU30,Ciprofloxacin,essential,Ciprofloxacin,True,Kolkata,60,327,26,35,0.9653947053523932
SKU31,Artesunate,essential,Artesunate,True,Chennai,6,168,17,44,2.9890000066550746
SKU32,Chloroquine,essential,Chloroquine,True,Kolkata,89,781,13,64,1.946036119386113
SKU33,Vitamin C,general,Vitamin C,False,Chennai,4,616,17,95,3.541046012250923
